City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,torbay,47.6666,-52.7314,3.65,96,100,4.12,CA,1675717731
84,constitucion,-35.3333,-72.4167,20.82,64,23,6.67,CL,1675717560
85,gualaquiza,-3.4,-78.55,22.46,84,93,1.11,EC,1675717732
86,ayagoz,47.9714,80.4392,-6.11,97,97,2.73,KZ,1675717732
87,cabedelo,-6.9811,-34.8339,26.37,71,78,6.05,BR,1675717733
88,huilong,31.8111,121.655,7.18,92,100,4.31,CN,1675717733
89,antalaha,-14.9003,50.2788,23.39,91,100,1.59,MG,1675717733
90,warmbad,-28.45,18.7333,24.96,31,17,6.61,NA,1675717734
91,nizhniy kuranakh,58.8353,125.4869,-44.49,100,50,1.13,RU,1675717734
92,haines junction,60.7522,-137.5108,-3.11,81,76,1.48,CA,1675717734
93,yeniseysk,58.4497,92.1703,-25.62,100,100,0.71,RU,1675717735
94,bara,10.3744,10.7288,27.74,16,100,6.79,NG,1675717735
95,saint-philippe,-21.3585,55.7679,25.77,84,81,4.83,RE,1675717693
96,grindavik,63.8424,-22.4338,-1.03,80,75,14.92,IS,1675717736
97,aksarka,66.5606,67.7975,-27.38,100,99,0.36,RU,1675717736
98,athabasca,54.7169,-113.2854,0.99,83,96,5.03,CA,1675717732
99,san juan,-31.5375,-68.5364,36.66,13,0,8.52,AR,1675717736
100,xuddur,4.1213,43.8894,23.8,59,34,6.47,SO,1675717737
101,khatanga,71.9667,102.5,-40.52,100,57,1.6,RU,1675717737
102,upernavik,72.7868,-56.1549,-23.18,94,100,3.47,GL,1675717492
103,washington,47.5001,-120.5015,8.29,67,100,2.6,US,1675717722
104,chuy,-33.6971,-53.4616,25.31,56,100,4.07,UY,1675717482
105,koshurnikovo,54.1667,93.3,-25.66,100,85,1.42,RU,1675717738
106,ponta do sol,32.6667,-17.1,15.35,55,20,4.21,PT,1675717738
107,qandala,11.472,49.8728,23.56,77,87,2.48,SO,1675717738
108,lanzhou,36.0564,103.7922,1.27,41,100,0.85,CN,1675717560
109,bethel,41.3712,-73.414,8.17,64,100,5.14,US,1675717570
110,kerema,-7.9631,145.7785,24.54,92,100,3.02,PG,1675717739
111,marsh harbour,26.5412,-77.0636,22.62,66,0,7.33,BS,1675717739
112,bethanien,-26.502,17.1583,24.88,39,43,5.66,NA,1675717740
113,bambous virieux,-20.3428,57.7575,25.68,78,52,6.55,MU,1675717740
114,salalah,17.0151,54.0924,22.05,56,0,2.06,OM,1675717740
115,sitka,57.0531,-135.33,3.94,81,75,4.63,US,1675717426
116,abha,18.2164,42.5053,11.14,82,0,2.57,SA,1675717741
117,faanui,-16.4833,-151.75,27.28,75,8,6.95,PF,1675717444
118,yar-sale,66.8333,70.8333,-25.53,100,90,2.1,RU,1675717492
119,alofi,-19.0595,-169.9187,28.94,74,75,4.12,NU,1675717741
120,tura,25.5198,90.2201,13.95,53,0,1.44,IN,1675717742
121,pingliang,35.5392,106.6861,1.42,50,75,0.6,CN,1675717742
122,castro,-24.7911,-50.0119,24.43,64,30,0.17,BR,1675717742
123,vietri sul mare,40.6687,14.7253,4.36,75,78,3.78,IT,1675717743
124,lata,40.1629,-8.3327,12.67,66,1,2.2,PT,1675717744
125,caohai,26.8661,104.2841,4.65,84,73,1.53,CN,1675717744
126,abong mbang,3.9833,13.1833,21.69,24,18,0.83,CM,1675717745
127,providencia,28.7167,-111.5833,26.23,33,96,8.72,MX,1675717745
128,pisco,-13.7,-76.2167,27.03,74,0,8.23,PE,1675717745
129,comodoro rivadavia,-45.8667,-67.5,20.96,46,36,5.9,AR,1675717746
130,kropotkin,45.4375,40.5756,-3.07,87,100,8.13,RU,1675717746
131,alice springs,-23.7,133.8833,18.75,63,40,2.57,AU,1675717746
132,irbit,57.6705,63.071,-11.06,96,100,2.04,RU,1675717747
133,petauke,-14.2426,31.3253,18.99,94,93,1.03,ZM,1675717747
134,caaguazu,-25.45,-56.0167,32.99,30,76,3.74,PY,1675717590
135,hammond,41.5834,-87.5,7.01,60,0,6.17,US,1675717584
136,geraldton,-28.7667,114.6,17.23,82,40,4.12,AU,1675717725
137,la palma,33.8464,-118.0467,22.03,37,0,4.63,US,1675717748
138,doha,25.2867,51.5333,20.94,83,0,5.14,QA,1675717690
139,barrow,71.2906,-156.7887,-21.99,84,100,4.63,US,1675717748
